,Company,TypeName,Inches,Screen Resolution,X_res,Y_res,Full HD,Quad HD+,4K Ultra HD,IPS,Touch Screen,CPU Name,CPU Freq (GHz),RAM (GB),HDD,SSD,Flash Storage,GPU,OS,Weight (kg),Price
21,Lenovo,Gaming,15.6,1920x1080,1920,1080,1,0,0,1,0,Intel Core i5,2.5,8,1000,128,0,Nvidia GeForce GTX,Windows 10,2.5,53226.71999999997
22,HP,Notebook,15.6,1366x768,1366,768,1,0,0,0,0,AMD E-Series,1.5,4,500,0,0,AMD Radeon,No OS,1.86,13746.24000000001
23,Dell,2 in 1 Convertible,13.3,1920x1080,1920,1080,1,0,0,0,1,Intel Core i5,1.6,8,0,256,0,Intel UHD Graphics,Windows 10,1.62,43636.320000000014
24,HP,Ultrabook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,1.8,8,0,256,0,Intel HD Graphics,Windows 10,1.91,35111.52
25,Dell,Notebook,15.6,1366x768,1366,768,1,0,0,0,0,Intel Core i3,2.0,4,1000,0,0,Intel HD Graphics,Windows 10,2.3,22305.139199999987
26,Apple,Ultrabook,13.3,1440x900,1440,900,1,0,0,0,0,Intel Core i5,1.6,8,0,0,128,Intel HD Graphics,Mac X,1.35,58554.71999999999
27,Dell,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i5,1.6,8,0,256,0,AMD Radeon,Windows 10,2.2,42624.00000000003
28,Dell,Ultrabook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,1.9,8,0,512,0,Intel UHD Graphics,Windows 10,1.88,69157.43999999997
29,HP,Notebook,17.3,1920x1080,1920,1080,1,0,0,0,0,Intel Core i5,1.6,8,1000,0,0,Nvidia GeForce MX,Windows 10,2.5,47738.880000000034
30,Chuwi,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Atom,1.44,4,0,0,64,Intel HD Graphics,Windows 10,1.89,13053.067200000007
31,Asus,Notebook,14.0,1366x768,1366,768,1,0,0,0,0,AMD E-Series,1.5,2,0,0,32,AMD Radeon,Windows 10,1.65,10602.72
32,HP,Notebook,17.3,1920x1080,1920,1080,1,0,0,0,0,AMD A-Series,2.5,4,500,0,0,AMD Radeon,Windows 10,2.71,23389.920000000002
33,Dell,Ultrabook,13.3,3200x1800,3200,1800,0,0,1,0,1,Intel Core i7,1.8,16,0,512,0,Intel UHD Graphics,Windows 10,1.2,99580.31999999993
34,Apple,Ultrabook,13.3,1440x900,1440,900,1,0,0,0,0,Intel Core i5,1.6,8,0,0,256,Intel HD Graphics,Mac X,1.35,53173.439999999966
35,Lenovo,Notebook,14.0,1366x768,1366,768,1,0,0,0,0,Intel Celeron Dual,1.1,4,0,0,64,Intel HD Graphics,Windows 10,1.44,13266.719999999998
36,Acer,Notebook,15.6,1366x768,1366,768,1,0,0,0,0,Intel Core i3,2.7,4,1000,0,0,Intel HD Graphics,Linux,2.1,19553.75999999999
37,Dell,Notebook,17.3,1920x1080,1920,1080,1,0,0,1,0,Intel Core i5,1.6,8,1000,128,0,AMD Radeon,Windows 10,2.8,52161.119999999995
38,HP,Notebook,15.6,1366x768,1366,768,1,0,0,0,0,Intel Core i5,2.5,4,1000,0,0,Intel HD Graphics,Windows 10,1.86,26037.403200000004
39,HP,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i5,1.6,8,0,256,0,Nvidia GeForce MX,Windows 10,2.1,46833.12000000003
40,Asus,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i3,2.0,4,1000,0,0,Intel HD Graphics,Linux,2.0,20725.92000000001
41,Dell,Gaming,15.6,1920x1080,1920,1080,1,0,0,1,0,Intel Core i7,2.8,16,1000,256,0,Nvidia GeForce GTX,Windows 10,2.65,79866.72000000007
42,Asus,Notebook,15.6,1366x768,1366,768,1,0,0,0,0,Intel Core i5,2.5,8,1000,0,0,Nvidia GeForce MX,Linux,2.3,27864.907200000005
43,Acer,Notebook,15.6,1920x1080,1920,1080,1,0,0,1,0,Intel Core i5,1.6,4,0,256,0,Intel UHD Graphics,Windows 10,2.2,36336.95999999998
44,Dell,2 in 1 Convertible,17.3,1920x1080,1920,1080,1,0,0,0,1,Intel Core i5,1.6,12,1000,0,0,Nvidia GeForce MX,Windows 10,2.77,53226.71999999997
45,Apple,Ultrabook,13.3,2560x1600,2560,1600,0,1,0,1,0,Intel Core i5,2.0,8,0,256,0,Intel Iris,Mac,1.37,75604.31999999993
46,Lenovo,Notebook,15.6,1366x768,1366,768,1,0,0,0,0,Intel Core i3,2.0,4,0,128,0,Intel HD Graphics,No OS,2.2,19660.319999999996
47,Asus,Gaming,17.3,1920x1080,1920,1080,1,0,0,0,0,AMD Processor,3.0,8,1000,256,0,AMD Radeon,Windows 10,3.2,69210.71999999994
48,Dell,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i5,2.5,4,0,256,0,AMD Radeon,Windows 10,2.3,34045.91999999999
49,Asus,Notebook,17.3,1366x768,1366,768,1,0,0,0,0,Intel Pentium Quad,1.1,4,1000,0,0,Nvidia GeForce MX,Windows 10,2.8,24828.480000000014
50,Lenovo,2 in 1 Convertible,10.1,1920x1200,1920,1200,0,1,0,1,1,Intel Atom,1.44,4,0,0,64,Intel HD Graphics,Android,0.69,16996.32000000001
51,Acer,Notebook,15.6,1920x1080,1920,1080,1,0,0,1,0,Intel Core i7,1.8,8,0,256,0,Nvidia GeForce MX,Windows 10,2.2,44808.479999999974
52,HP,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,AMD A-Series,2.5,4,0,256,0,AMD Radeon,Windows 10,1.86,21231.54720000002
53,HP,Notebook,13.3,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,1.8,8,0,512,0,Intel UHD Graphics,Windows 10,1.49,58767.83999999997
54,Acer,Notebook,15.6,1366x768,1366,768,1,0,0,0,0,Intel Core i3,2.4,4,1000,0,0,Intel HD Graphics,Windows 10,2.4,20459.52
55,Dell,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,1.8,8,0,256,0,AMD Radeon,Windows 10,2.13,40908.38400000003
56,HP,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i3,2.0,4,0,128,0,Intel HD Graphics,Windows 10,1.91,23389.920000000002
57,Asus,Notebook,15.6,1366x768,1366,768,1,0,0,0,0,Intel Core i5,2.5,4,0,256,0,Intel HD Graphics,Windows 10,2.0,31232.203199999978
58,MSI,Gaming,17.3,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,2.8,16,2000,256,0,Nvidia GeForce GTX,Windows 10,2.43,130482.72
59,Asus,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i3,2.0,4,0,256,0,Intel HD Graphics,Linux,2.0,22111.19999999999
60,Dell,Notebook,17.3,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,1.8,16,2000,256,0,AMD Radeon,Windows 10,2.8,69210.71999999994
61,Dell,Ultrabook,14.0,1920x1080,1920,1080,1,0,0,0,0,Intel Core i5,1.6,8,0,256,0,Intel UHD Graphics,Windows 10,1.7,46833.12000000003
62,Lenovo,Notebook,14.0,1920x1080,1920,1080,1,0,0,1,0,Intel Core i3,2.7,8,0,256,0,Intel HD Graphics,No OS,1.7,31914.720000000027
63,Asus,Notebook,14.0,1920x1080,1920,1080,1,0,0,0,0,Intel Core i5,1.6,8,0,256,0,Intel UHD Graphics,Windows 10,1.4,50136.47999999998
64,HP,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i5,2.5,8,0,256,0,Intel HD Graphics,Windows 10,1.86,36763.20000000002
65,Asus,Ultrabook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,2.8,16,0,512,0,Nvidia GeForce GTX,Windows 10,1.8,105654.23999999999
66,HP,Notebook,15.6,1366x768,1366,768,1,0,0,0,0,Intel Core i3,2.0,4,500,0,0,AMD Radeon,Windows 10,1.86,23373.4032
67,HP,Notebook,14.0,1366x768,1366,768,1,0,0,0,0,Intel Celeron Dual,1.6,4,0,32,0,Intel HD Graphics,Windows 10,1.44,12201.119999999994
68,Lenovo,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i5,2.5,4,1000,0,0,Intel HD Graphics,Windows 10,1.9,29250.719999999994
69,Asus,Gaming,17.3,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,2.8,12,1000,0,0,Nvidia GeForce GTX,Linux,3.0,50562.71999999997
70,Microsoft,Ultrabook,13.5,2256x1504,2256,1504,0,1,0,0,1,Intel Core i5,2.5,4,0,128,0,Intel HD Graphics,Windows 10 S,1.252,58021.91999999995
71,Dell,Ultrabook,13.3,1920x1080,1920,1080,1,0,0,1,0,Intel Core i7,1.8,8,0,256,0,AMD Radeon,Windows 10,1.4,50882.399999999965
72,Dell,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,1.8,8,0,256,0,AMD Radeon,Windows 10,2.2,46353.59999999997
73,MSI,Gaming,17.3,1920x1080,1920,1080,1,0,0,0,0,Intel Core i5,2.5,8,1000,128,0,Nvidia GeForce GTX,Windows 10,2.7,58341.60000000001
74,Acer,Notebook,14.0,1366x768,1366,768,1,0,0,0,0,Intel Core i3,2.0,8,1000,0,0,Intel HD Graphics,Windows 10,2.1,20725.92000000001
75,Asus,Gaming,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,2.8,8,1000,0,0,Nvidia GeForce GTX,Windows 10,2.2,50562.71999999997
76,Lenovo,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i5,2.5,8,2000,0,0,Intel HD Graphics,No OS,2.2,27652.320000000018
77,Dell,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,1.8,8,1000,128,0,Intel UHD Graphics,Windows 10,2.02,45554.39999999999
78,Acer,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i3,2.7,4,1000,0,0,Nvidia GeForce MX,Windows 10,2.2,28238.399999999998
79,HP,Notebook,17.3,1920x1080,1920,1080,1,0,0,0,0,Intel Core i5,1.6,8,1000,128,0,Nvidia GeForce MX,Windows 10,2.5,52054.56000000003
80,Dell,Ultrabook,15.6,1920x1080,1920,1080,1,0,0,1,0,Intel Core i5,1.6,8,0,256,0,Intel UHD Graphics,Windows 10,1.88,58403.404799999975
81,Apple,Ultrabook,12.0,2304x1440,2304,1440,0,1,0,1,0,Intel Core i5,1.3,8,0,512,0,Intel HD Graphics,Mac,0.92,80452.80000000002
82,HP,Notebook,14.0,1920x1080,1920,1080,1,0,0,0,0,Intel Core i5,1.6,8,0,256,0,Intel HD Graphics,Windows 10,1.63,45820.80000000003
83,Lenovo,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,AMD A-Series,2.5,4,0,128,0,AMD Radeon,Windows 10,2.2,21258.719999999987
84,Acer,Notebook,15.6,1366x768,1366,768,1,0,0,0,0,AMD A-Series,3.0,4,1000,0,0,AMD Radeon,Windows 10,2.1,21045.600000000002
85,Dell,Gaming,15.6,1920x1080,1920,1080,1,0,0,1,0,Intel Core i7,2.8,16,1000,128,0,Nvidia GeForce GTX,Windows 10,2.65,71874.72000000006
86,HP,Ultrabook,15.6,1920x1080,1920,1080,1,0,0,1,0,Intel Core i7,1.8,8,0,256,0,Nvidia GeForce GTX,Windows 10,1.83,37242.719999999994
87,HP,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i5,2.5,8,0,256,0,Intel HD Graphics,Windows 10,1.96,31914.18720000003
88,Asus,Gaming,15.6,1920x1080,1920,1080,1,0,0,1,0,Intel Core i7,2.8,16,1000,128,0,Nvidia GeForce GTX,Windows 10,2.2,77202.72000000006
89,Dell,Ultrabook,13.3,1920x1080,1920,1080,1,0,0,1,0,Intel Core i7,1.8,8,0,256,0,Intel UHD Graphics,Windows 10,1.21,87858.71999999993
90,Asus,Gaming,15.6,1920x1080,1920,1080,1,0,0,0,0,AMD Processor,3.0,8,1000,0,0,AMD Radeon,Windows 10,2.45,37242.719999999994
91,Acer,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,1.8,8,1000,0,0,Nvidia GeForce MX,Windows 10,2.2,36709.920000000006
92,HP,Notebook,13.3,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,1.8,16,0,512,0,Intel UHD Graphics,Windows 10,1.49,63776.16000000004
93,Dell,Gaming,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i5,2.5,8,0,256,0,Nvidia GeForce GTX,Windows 10,2.65,63669.59999999998
94,Asus,Ultrabook,14.0,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,2.7,8,0,256,0,Intel HD Graphics,Windows 10,1.25,55890.720000000045
95,Acer,2 in 1 Convertible,13.3,1920x1080,1920,1080,1,0,0,1,1,Intel Core i5,1.6,8,0,256,0,Intel UHD Graphics,Windows 10,1.5,45128.16000000002
96,Dell,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,2.7,8,1000,0,0,AMD Radeon,Linux,2.2,31962.672000000002
97,Dell,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i3,2.0,4,0,256,0,AMD Radeon,Linux,2.2,25840.79999999998
98,Asus,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i3,2.4,6,0,256,0,Nvidia GeForce M,Windows 10,2.0,30742.55999999998
99,HP,Gaming,15.6,1920x1080,1920,1080,1,0,0,1,0,Intel Core i7,2.8,12,1000,128,0,Nvidia GeForce GTX,Windows 10,2.62,66546.72
100,HP,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,2.7,8,0,256,0,AMD Radeon,Windows 10,1.91,38308.31999999998
101,HP,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,AMD E-Series,1.5,4,500,0,0,AMD Radeon,Windows 10,2.1,18594.719999999998
102,Dell,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i5,1.6,8,1000,0,0,AMD Radeon,Linux,2.2,34472.15999999998
103,HP,Ultrabook,13.3,1920x1080,1920,1080,1,0,0,1,0,Intel Core i7,2.7,8,0,256,0,Nvidia GeForce MX,Windows 10,1.38,59620.32000000004
104,Microsoft,Ultrabook,13.5,2256x1504,2256,1504,0,1,0,0,1,Intel Core i5,2.5,8,0,256,0,Intel HD Graphics,Windows 10 S,1.252,71395.2
105,HP,Notebook,14.0,1920x1080,1920,1080,1,0,0,1,0,Intel Core i5,2.5,6,0,256,0,Nvidia GeForce MX,Windows 10,1.58,35111.52
106,Lenovo,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i3,2.0,4,1000,0,0,Intel HD Graphics,Windows 10,1.85,22105.87200000001
107,Asus,Ultrabook,14.0,1920x1080,1920,1080,1,0,0,1,0,Intel Core i7,2.7,8,0,256,0,Nvidia GeForce MX,Windows 10,1.3,63563.04000000004
108,MSI,Gaming,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,2.8,16,1000,256,0,Nvidia GeForce GTX,Windows 10,2.2,69210.71999999994
109,Lenovo,Notebook,14.0,1920x1080,1920,1080,1,0,0,1,0,Intel Core i7,2.7,8,0,256,0,Intel HD Graphics,Windows 10,1.58,78854.40000000005
110,Asus,Ultrabook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,1.8,16,1000,256,0,Nvidia GeForce MX,Windows 10,1.5,67239.36000000004
111,Dell,Ultrabook,13.3,3200x1800,3200,1800,0,0,1,0,1,Intel Core i7,2.4,8,0,256,0,Intel Iris,Windows 10,1.23,73473.11999999995
112,Lenovo,2 in 1 Convertible,13.3,1920x1080,1920,1080,1,0,0,1,1,Intel Core i5,2.5,8,0,256,0,Intel HD Graphics,Windows 10,1.37,74538.72000000003
113,HP,Notebook,14.0,1366x768,1366,768,1,0,0,1,0,Intel Core i5,1.6,4,500,0,0,Intel UHD Graphics,Windows 10,1.63,38468.15999999999
114,Dell,Ultrabook,13.3,1920x1080,1920,1080,1,0,0,1,0,Intel Core i5,1.6,8,0,256,0,Intel UHD Graphics,Windows 10,1.21,86793.12000000001
115,HP,2 in 1 Convertible,13.3,1920x1080,1920,1080,1,0,0,1,1,Intel Core i5,1.6,8,0,256,0,Intel UHD Graphics,Windows 10,1.26,74538.18720000004
116,HP,Notebook,14.0,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,1.8,8,0,512,0,Intel UHD Graphics,Windows 10,1.63,57755.52000000002
117,Dell,Notebook,15.6,1920x1080,1920,1080,1,0,0,1,0,Intel Core i7,1.8,8,1000,256,0,Nvidia GeForce MX,Windows 10,2.16,60223.98239999997
118,Asus,Notebook,17.3,1920x1080,1920,1080,1,0,0,0,0,Intel Core i3,2.0,4,1000,0,0,Nvidia GeForce MX,Windows 10,2.0,30049.92000000001
119,Asus,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,1.8,8,0,256,0,Nvidia GeForce MX,Windows 10,1.7,59567.03999999995
120,Acer,Notebook,15.6,1920x1080,1920,1080,1,0,0,1,1,Intel Core i3,2.4,6,1000,0,0,Intel HD Graphics,Windows 10,2.1,25521.11999999999
121,MSI,Gaming,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,2.8,16,2000,256,0,Nvidia GeForce GTX,Windows 10,1.8,119427.11999999997
122,Lenovo,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i5,2.5,8,0,256,0,Nvidia GeForce MX,No OS,2.2,33513.12000000002
123,HP,Notebook,17.3,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,1.8,16,0,512,0,Nvidia GeForce MX,Windows 10,2.5,67718.88
124,Acer,Notebook,15.6,1366x768,1366,768,1,0,0,0,0,AMD A-Series,3.0,4,0,256,0,AMD Radeon,Windows 10,2.1,24029.279999999984
125,HP,Notebook,15.6,1366x768,1366,768,1,0,0,0,0,Intel Celeron Dual,1.6,4,500,0,0,Intel HD Graphics,No OS,1.86,13799.519999999995
126,HP,Notebook,14.0,1920x1080,1920,1080,1,0,0,0,0,Intel Core i5,1.6,8,1000,0,0,Intel UHD Graphics,Windows 10,1.63,43263.36000000004
127,Asus,Notebook,14.0,1366x768,1366,768,1,0,0,0,0,AMD E-Series,1.5,4,0,64,0,AMD Radeon,Windows 10 S,1.65,14811.307199999994
128,Dell,Notebook,17.3,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,1.8,16,2000,256,0,AMD Radeon,Windows 10,2.8,74378.88
129,HP,Notebook,17.3,1920x1080,1920,1080,1,0,0,0,0,Intel Core i5,1.6,8,0,256,0,Intel UHD Graphics,Windows 10,2.5,49443.83999999996
130,Dell,Notebook,15.6,1366x768,1366,768,1,0,0,0,0,Intel Core i5,2.5,8,1000,0,0,AMD Radeon,Windows 10,2.36,34045.38720000002
131,Dell,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i3,2.0,4,1000,0,0,AMD Radeon,Windows 10,2.2,23922.719999999987
132,Acer,Ultrabook,14.0,1920x1080,1920,1080,1,0,0,1,0,Intel Core i7,1.8,8,0,256,0,Intel UHD Graphics,Windows 10,1.6,47099.52000000003
133,Acer,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i3,2.7,4,0,256,0,Nvidia GeForce MX,Windows 10,2.2,30476.159999999996
134,HP,Notebook,15.6,1366x768,1366,768,1,0,0,0,0,Intel Core i7,2.7,8,1000,0,0,Intel HD Graphics,Windows 10,2.05,31861.439999999988
135,HP,Notebook,14.0,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,1.8,8,0,256,0,Intel UHD Graphics,Windows 10,1.63,52640.63999999998
136,Lenovo,Notebook,15.6,1366x768,1366,768,1,0,0,0,0,Intel Celeron Dual,1.1,4,1000,0,0,Intel HD Graphics,No OS,1.9,13445.740800000005
137,Asus,Gaming,17.3,1920x1080,1920,1080,1,0,0,0,0,Intel Core i5,2.5,8,1000,128,0,Nvidia GeForce GTX,Windows 10,3.0,49976.64000000004
138,Lenovo,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i5,2.5,4,1000,0,0,Nvidia GeForce MX,No OS,2.2,26586.71999999998
139,HP,Notebook,13.3,1920x1080,1920,1080,1,0,0,1,0,Intel Core i5,2.5,4,0,256,0,Intel HD Graphics,Windows 10,1.32,37242.719999999994
140,Acer,Notebook,17.3,1920x1080,1920,1080,1,0,0,1,0,Intel Core i3,2.7,4,1000,0,0,Nvidia GeForce MX,Windows 10,3.0,34898.40000000002
141,Lenovo,Notebook,14.0,1920x1080,1920,1080,1,0,0,1,0,Intel Core i5,1.6,8,0,256,0,AMD Radeon,Windows 10,1.75,59461.54559999998
142,Lenovo,Gaming,15.6,1920x1080,1920,1080,1,0,0,1,0,Intel Core i7,2.8,8,0,256,0,Nvidia GeForce GTX,No OS,2.4,46300.31999999996
143,Toshiba,Notebook,15.6,1366x768,1366,768,1,0,0,0,0,Intel Core i5,2.3,4,500,0,0,Intel HD Graphics,Windows 10,2.1,32074.55999999999
144,HP,Notebook,15.6,1366x768,1366,768,1,0,0,0,0,AMD A-Series,2.5,4,0,256,0,AMD Radeon,Windows 10,1.86,19660.319999999996
145,Asus,Ultrabook,14.0,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,1.8,8,0,256,0,Intel UHD Graphics,Windows 10,1.25,58554.71999999999
146,HP,Ultrabook,12.5,3840x2160,3840,2160,0,0,1,1,1,Intel Core M,1.2,8,0,512,0,Intel HD Graphics,Windows 10,0.97,107305.92000000006
147,Asus,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Celeron Dual,1.1,4,1000,0,0,Intel HD Graphics,Windows 10,2.0,18328.319999999996
148,MSI,Gaming,17.3,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,2.8,16,1000,256,0,Nvidia GeForce GTX,Windows 10,2.9,108105.12
149,Acer,Notebook,15.6,1366x768,1366,768,1,0,0,0,0,Intel Core i3,2.0,4,1000,0,0,Intel HD Graphics,Windows 10,2.1,23816.160000000007
150,Dell,Gaming,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,2.8,16,0,512,0,Nvidia GeForce GTX,Windows 10,2.56,66560.5728
151,Lenovo,Notebook,15.6,1366x768,1366,768,1,0,0,0,0,Intel Core i5,2.5,4,0,128,0,Intel HD Graphics,Windows 10,1.9,26533.439999999995
152,MSI,Gaming,17.3,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,2.8,16,1000,256,0,Nvidia GeForce GTX,Windows 10,2.8,100699.19999999995
153,HP,Ultrabook,14.0,1920x1080,1920,1080,1,0,0,0,0,Intel Core i5,2.7,4,0,256,0,Intel HD Graphics,Windows 10,1.48,57648.960000000036
154,HP,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i5,1.6,6,0,256,0,AMD Radeon,Windows 10,1.91,32980.31999999997
155,Lenovo,2 in 1 Convertible,14.0,1920x1080,1920,1080,1,0,0,1,1,Intel Core i3,2.4,4,0,256,0,Intel HD Graphics,Windows 10,1.74,33513.12000000002
156,Asus,2 in 1 Convertible,13.3,1920x1080,1920,1080,1,0,0,0,1,Intel Core i5,1.6,8,0,256,0,Intel HD Graphics,Windows 10,1.1,70063.20000000003
157,Dell,2 in 1 Convertible,15.6,1920x1080,1920,1080,1,0,0,0,1,Intel Core i7,1.8,8,0,256,0,Intel UHD Graphics,Windows 10,1.56,55890.720000000045
158,Toshiba,Notebook,15.6,1366x768,1366,768,1,0,0,0,0,Intel Core i3,2.2,4,500,0,0,Intel HD Graphics,Windows 10,2.1,23816.160000000007
159,Asus,Notebook,15.6,1366x768,1366,768,1,0,0,0,0,AMD A-Series,3.0,4,1000,0,0,AMD Radeon,Windows 10,2.03,21471.84000000001
160,Acer,Notebook,17.3,1920x1080,1920,1080,1,0,0,1,0,Intel Core i5,1.6,4,0,256,0,Nvidia GeForce MX,Windows 10,3.0,42890.39999999997
